case_id,reason
1.000000-P4P117S306I00009 Gated 60.0A-31163-1-70,área pulmonar fora da faixa operacional (0.8%)
1.000000-P4P117S306I00011 Gated 80.0A-73769-1-90,a máscara não tem dois componentes pulmonares relevantes
1.000000-P4P117S306I00012 Gated 90.0A-24965-1-80,a máscara não tem dois componentes pulmonares relevantes
1.000000-P4P117S308I00003 Gated 0.0A-49546-1-099,a máscara não tem dois componentes pulmonares relevantes
1.000000-P4P117S308I00004 Gated 10.0A-78586-1-078,área pulmonar fora da faixa operacional (3.0%)
1.000000-P4P117S308I00004 Gated 10.0A-78586-1-104,a máscara não tem dois componentes pulmonares relevantes
1.000000-P4P117S308I00007 Gated 40.0A-32548-1-080,área pulmonar fora da faixa operacional (1.5%)
1.000000-P4P117S308I00010 Gated 70.0A-15360-1-026,a máscara não tem dois componentes pulmonares relevantes
1.000000-P4P117S308I00010 Gated 70.0A-15360-1-036,área pulmonar fora da faixa operacional (2.4%)
1.000000-P4P117S308I00010 Gated 70.0A-15360-1-081,área pulmonar fora da faixa operacional (1.9%)
1.000000-P4P117S308I00012 Gated 90.0A-24319-1-093,a máscara não tem dois componentes pulmonares relevantes
