case_id,original_contrast,dgen_contrast,dsr_contrast,original_energy,dgen_energy,dsr_energy,dgen_mae,dsr_mae,dgen_sharpness,dsr_sharpness,dgen_contrast_error,dsr_contrast_error
1.000000-P4P100S300I00003 Gated 0.0A-29193-1-058,5.575786246981601,4.14483626877338,3.2427206884653046,0.024651452772640636,0.011389847094941678,0.03688438123510744,0.42117710498373767,0.14357593729811075,0.0329845499883358,0.022755785522722637,1.4309499782082211,2.3330655585162967
1.000000-P4P105S300I00004 Gated 0.0A-69532-1-059,3.533862078696661,4.8912118047508475,3.2934000522643148,0.06408041883853952,0.014473067777934815,0.03557020682893639,0.4623096134015248,0.088507473855633,0.039325251843355113,0.0236191301848686,1.3573497260541867,0.24046202643234604
1.000000-P4P105S300I00006 Gated 20.0A-02729-1-042,3.3230576410866326,4.711285374257024,2.342149521740337,0.08404198949845951,0.016868468919204224,0.05158479181157179,0.5431763727817994,0.08375883333760267,0.03920408910760289,0.01778668523821867,1.3882277331703912,0.9809081193462954
1.000000-P4P105S300I00006 Gated 20.0A-02729-1-070,5.099028896327955,5.337691106795981,3.9092995217310706,0.0453634878868834,0.009145584382820707,0.031151496936055317,0.562763248652296,0.09393899883349426,0.040912048283068304,0.026165828882707264,0.23866221046802671,1.189729374596884
1.000000-P4P105S300I00006 Gated 20.0A-02729-1-078,4.657320250339009,5.254310500790236,3.5484874394449504,0.049518679925948716,0.009495442880669147,0.028848736698178255,0.6220403381680488,0.09637466169596166,0.04286289932198406,0.026756509704448553,0.5969902504512268,1.108832810894059
1.000000-P4P105S300I00008 Gated 40.0A-54784-1-078,5.497109675206735,3.3689619190787137,3.301128439931782,0.045667761152836495,0.09984795232686913,0.031930891718575855,1.3825977596965782,0.08910054994215474,0.04233263520529698,0.025849959904116454,2.1281477561280213,2.195981235274953
1.000000-P4P105S300I00009 Gated 50.0A-40237-1-078,5.760550089721972,3.5493052336777415,3.405449135724635,0.044449282831701825,0.06359358691688853,0.0318889020059026,1.35669371163324,0.09266305315695421,0.03517490120561326,0.026324863833238607,2.211244856044231,2.3551009539973373
1.000000-P4P105S300I00009 Gated 50.0A-40237-1-081,5.165482719564349,5.000871665267088,3.1201008210520498,0.038290402591669624,0.00778088108745854,0.03286757569909064,0.8303646195655936,0.08766882654605135,0.041039011503881444,0.023488118882344443,0.16461105429726164,2.0453818985122996
1.000000-P4P105S300I00010 Gated 60.0A-69158-1-056,4.8715253638158424,6.073763214673239,3.8685638485997624,0.05164976893652923,0.008257126234097998,0.027510411018968665,0.7617794983127721,0.10237551576053297,0.054354698429307596,0.027122149444996264,1.2022378508573963,1.00296151521608
1.000000-P4P105S300I00011 Gated 70.0A-12662-1-031,2.7891396625905682,3.9433099960393214,1.677627602711899,0.1820779762421275,0.021165720919521604,0.11469956869341674,0.5096581429718463,0.08658417468999134,0.03462167162408913,0.01352498820757163,1.1541703334487532,1.1115120598786692
1.000000-P4P105S300I00013 Gated 90.0A-34039-1-045,3.0156903307716707,5.559261115499168,2.0732574460663264,0.06273979901284513,0.00930751498264046,0.05263222603068998,0.7130881023391337,0.07577134654405468,0.049566089792105535,0.016864965755822057,2.543570784727497,0.9424328847053443
1.000000-P4P105S300I00013 Gated 90.0A-34039-1-060,3.233645814233717,4.807948714543075,3.0426680653214153,0.06041439523098546,0.014519447649989298,0.03421661496716016,0.42680138720101457,0.09455277446553008,0.03817161037917788,0.023567886822088834,1.574302900309358,0.19097774891230168
1.000000-P4P117S300I00005 Gated 20.0A-79282-1-36,8.992341487994231,3.948391929447351,3.6222656218920655,0.011520824165753831,0.019521398759321292,0.024734662272506765,0.28999837542908913,0.2784334011200438,0.0387545845962879,0.028290547604808074,5.04394955854688,5.370075866102166
1.000000-P4P117S300I00006 Gated 30.0A-98754-1-53,9.840287532810029,2.8851632871766717,4.303283390005913,0.007998199074016357,0.027673545942425503,0.01874716417375883,0.4698860766373769,0.3494415704179746,0.0273500958374658,0.028716000078053493,6.955124245633357,5.537004142804116
